"word"	"count"
"bond"	316
"bone"	213
"bonni"	37
"bonus"	143
"boo"	174
"boob"	46
"book"	3393
"booker"	47
"bookstor"	67
"boom"	128
"boomer"	37
"boon"	28
"boost"	173
"booster"	28
"boot"	206
"booth"	164
"booti"	47
"booz"	52
"border"	249
"bore"	515
"born"	501
"borough"	32
"borrow"	184
"bosh"	36
"boss"	263
"boston"	341
"botan"	30
"both"	2660
"bother"	192
"bottl"	456
"bottom"	443
"bought"	605
"boulder"	59
"boulevard"	96
"bounc"	129
"bound"	150
"boundari"	78
"bounti"	44
"bourbon"	59
"bout"	386
"boutiqu"	67
"bow"	154
"bowl"	663
"box"	728
"boxer"	38
"boy"	1533
"boycott"	23
"boyd"	28
"boyfriend"	266
"boyz"	45
"bra"	44
"brace"	59
"bracelet"	55
"bracket"	59
"brad"	114
"bradi"	77
"bradley"	69
"brag"	48
"braid"	34
"brain"	439
"brainstorm"	26
"brais"	25
"brake"	44
"branch"	238
"brand"	514
"brandon"	144
"brass"	57
"brat"	24
"braun"	56
"brave"	140
"brazil"	69
"brazilian"	44
"breach"	53
"bread"	311
"break"	1259
"breakdown"	58
"breakfast"	437
"breakout"	22
"breakthrough"	34
"breast"	187
"breath"	456
"breathtak"	26
"breed"	71
"breez"	59
"brendan"	31
"brennan"	32
"brent"	40
"brett"	43
"brew"	277
"brewer"	247
"breweri"	151
"brian"	249
"bribe"	47
"briberi"	25
"brick"	108
"bridal"	28
"bride"	85
"bridesmaid"	24
"bridg"	398
"brief"	205
"briefli"	103
"bright"	343
"brighten"	34
"brighter"	32
"brillianc"	23
"brilliant"	197
"bring"	1798
"brink"	30
"bristol"	25
"britain"	128
"british"	291
"bro"	396
"broad"	144
"broadcast"	176
"broaden"	28
"broader"	55
"broadway"	124
"broccoli"	53
"broke"	362
"broken"	371
"broker"	72
"bronco"	153
"bronx"	37
"bronz"	33
"brook"	131
"brooklyn"	178
"bros"	50
"broth"	57
"brother"	856
"brought"	629
"brow"	30
"brown"	1037
"browni"	61
"brows"	50
"bruce"	121
"bruh"	43
"bruin"	45
"bruis"	50
"brunch"	103
"bruno"	58
"brunswick"	59
"brush"	193
"brussel"	26
"brutal"	113
"bryan"	82
"bryant"	82
"btw"	146
"bubbl"	136
"buchanan"	25
"buck"	190
"bucket"	91
"buckey"	69
"buckl"	28
"bud"	134
"buddha"	28
"buddhist"	31
"buddi"	280
"budget"	675
"bueno"	25
"buff"	33
"buffalo"	111
"buffet"	59
"buffett"	32
"bug"	132
"build"	1625
"builder"	47
"built"	443
"builtin"	29
"bulb"	45
"bulk"	67
"bull"	257
"bulldog"	33
"bullet"	107
"bulletin"	24
"bulli"	186
"bullpen"	56
"bullshit"	86
"bum"	112
"bummer"	31
"bump"	138
"bumper"	25
"bun"	70
"bunch"	304
"bundl"	49
"bunni"	101
"bunt"	36
"burden"	111
"bureau"	118
"bureaucrat"	29
"bureaus"	23
"burger"	183
"burglari"	30
"buri"	122
"burial"	27
"burk"	49
"burn"	413
"burner"	22
"burnt"	30
"burrito"	57
"burst"	79
"burton"	39
"bus"	371
"busch"	59
"buse"	57
"bush"	193
"busi"	2586
"businessman"	32
"bust"	109
"buster"	22
"bustl"	35
"but"	23842
"butler"	74
"butt"	171
"butter"	321
"butterfli"	107
"buttermilk"	27
"button"	266
"buy"	1438
"buyer"	163
"buzz"	102
"bye"	113
"bynum"	52
"bypass"	37
"cab"	68
"cabbag"	48
"cabin"	82
"cabinet"	102
"cabl"	117
"cabrera"	30
"cach"	27
"cadillac"	30
"caesar"	31
"caf"	38
"cafe"	197
"cafeteria"	28
"caffein"	53
"cage"	88
"cain"	44
"cake"	542
"cal"	79
"calcul"	120
"calendar"	131
"calf"	23
"cali"	46
"calib"	31
"calif"	81
"california"	665
"call"	4916
"caller"	35
"calm"	239
"calori"	160
"calvin"	40
"cam"	47
"cambi"	25
"cambridg"	27
"camden"	58
"came"	1981
"camel"	24
"cameo"	23
"camera"	418
"cameron"	86
"camp"	427
"campaign"	773
"campbel"	81
"camper"	31
"campus"	288
"can"	12329
"canada"	177
"canadian"	129
"canal"	65
"cancel"	214
"cancer"	444
"candi"	251
"candid"	545
"candl"	106
"cane"	32
"canin"	25
"cannon"	48
"cannot"	651
"cano"	34
"canon"	46
"cant"	4348
"canva"	47
"canyon"	75
"cap"	269
"capabl"	188
"capac"	120
"cape"	85
"capit"	320
"capitalist"	29
"capitol"	94
"capt"	31
"captain"	195
"caption"	31
"captiv"	63
"captur"	227
"car"	1656
"caramel"	86
"carb"	25
"carbohydr"	41
"carbon"	72
"card"	1196
"cardboard"	32
"cardiac"	26
"cardin"	237
"cardio"	32
"cardstock"	46
"care"	2036
"career"	742
"caregiv"	34
"careless"	38
"carey"	35
"cargo"	45
"caribbean"	49
"carl"	94
"carlo"	102
"carlson"	24
"carmel"	34
"carmen"	29
"carnegi"	27
"carniv"	39
"carol"	62
"carolin"	31
"carolina"	246
"carolyn"	27
"carpent"	57
"carpet"	118
"carr"	27
"carri"	755
"carrier"	80
"carrol"	68
"carrot"	105
"carson"	31
"cart"	126
"cartel"	36
"carter"	114
"cartoon"	68
"cartridg"	38
"carv"	84
"casa"	44
"cascad"	31
"case"	1899
"casey"	76
"cash"	358
"casino"	168
"cask"	34
"casserol"	30
"cast"	399
"castl"	102
"castro"	42
"casual"	126
"cat"	501
"catalog"	65
"catalyst"	26
"catastroph"	40
"catch"	677
"catcher"	54
"catchi"	26
"categori"	195
"cater"	65
"cathedr"	40
"catherin"	38
"cathi"	36
"cathol"	233
"cattl"	35
"caucus"	47
"caught"	405
"caus"	1390
"caution"	69
"cautious"	50
"cav"	67
"cavali"	48
"cave"	90
"cbs"	94
"cds"	66
"ceas"	52
"cedar"	43
"ceil"	102
"celeb"	34
"celebr"	1087
"celeri"	29
"cell"	307
"cellar"	26
"cellphon"	70
"celtic"	104
"cement"	24
"cemeteri"	65
"census"	70
"cent"	262
"centenni"	29
"center"	1647
"centerpiec"	24
"centr"	135
"central"	480
"centuri"	332
"ceo"	233
"ceram"	34
"cereal"	73
"ceremoni"	159
"certain"	1033
"certainti"	27
"certif"	110
"certifi"	101
"cha"	36
"chad"	46
"chagrin"	30
"chain"	289
"chair"	311
"chairman"	253
"chairwoman"	24
"chalk"	38
"challeng"	1158
"chamber"	154
"champ"	67
"champagn"	94
"champion"	280
"championship"	366
"chan"	26
"chanc"	1126
"chancellor"	37
"chandler"	76
"chang"	2997
"channel"	317
"chant"	88
"chao"	72
"chaotic"	31
"chapel"	44
"chapman"	32
"chapter"	269
"char"	47
"charact"	991
"character"	40
"characterist"	61
"charcoal"	29
"charg"	1090
"charger"	83
"charismat"	28
"charit"	44
"chariti"	174
"charl"	274
"charleston"	25
"charli"	140
"charlott"	107
"charm"	193
"chart"	131
"charter"	151
"chase"	272
"chat"	311
"chatter"	30
"chavez"	24
"cheap"	204
"cheaper"	95
"cheat"	128
"check"	2058
"checkin"	33
"checkout"	38
"cheddar"	36
"cheek"	69
"cheer"	335
"cheerlead"	41
"chees"	513
"cheeseburg"	24
"cheesecak"	32
"cheesi"	31
"chef"	279
"chelsea"	64
"chemic"	136
"chemistri"	72
"chen"	66
"cherish"	49
"cheroke"	31
"cherri"	124
"cheryl"	34
"chesapeak"	24
"chess"	23
"chest"	151
"chesterfield"	30
"chestnut"	29
"chevi"	35
"chevrolet"	38
"chew"	78
"chewi"	26
"chi"	54
"chic"	45
"chicago"	684
"chick"	138
"chicken"	569
"chief"	649
"child"	943
"childhood"	161
"childish"	26
"children"	1726
"chile"	64
"chili"	91
"chill"	259
"chilli"	58
"chillin"	59
"chime"	31
"chin"	48
"china"	367
"chines"	299
"chip"	287
"chipotl"	31
"chocol"	517
"choic"	856
"choir"	68
"choke"	69
"cholesterol"	66
"choos"	597
"chop"	258
"chord"	34
"chore"	57
"chorus"	60
"chose"	246
"chosen"	172
"chris"	526
"christ"	368
"christi"	292
"christian"	507
"christin"	71
"christina"	57
"christma"	808
"christoph"	114
"chrome"	33
"chronic"	66
"chronicl"	84
"chrysler"	82
"chuck"	138
"chuckl"	48
"chunk"	68
"chunki"	23
"church"	867
"churchil"	49
"churn"	22
"cia"	62
"cider"	49
"cigar"	36
"cigarett"	95
"cilantro"	40
"cincinnati"	86
"cinco"	73
"cinderella"	26
"cindi"	35
"cinema"	63
"cinemat"	23
"cinnamon"	95
"circl"	319
"circuit"	91
"circul"	61
"circular"	28
"circumst"	172
"circus"	72
"citat"	36
"cite"	200
"citi"	3543
"citizen"	306
"citizenship"	33
"citrus"	54
"civic"	93
"civil"	355
"civilian"	73
"clackama"	45
"claim"	779
"clair"	61
"clam"	31
"clan"	23
"clap"	43
"clara"	55
"clarifi"	61
"clariti"	49
"clark"	178
"clash"	66
"class"	1671
"classi"	66
"classic"	480
"classifi"	53
"classmat"	74
"classroom"	164
"claus"	61
"claw"	27
"clay"	91
"clayton"	41
"clean"	808
"cleaner"	67
"cleans"	42
"cleanup"	46
"clear"	1262
"clearanc"	28
"clearer"	24
"clemen"	44
"clement"	29
"clerk"	79
"cleveland"	739
"clever"	105
"clich"	44
"click"	312
"client"	458
"cliff"	64
"climat"	127
"climax"	27
"climb"	235
"clinch"	35
"cling"	44
"clinic"	221
"clint"	23
"clinton"	103
"clip"	154
"clipper"	90
"clock"	195
"clone"	31
"clooney"	33
"close"	1998
"closer"	313
"closest"	65
"closet"	130
"closeup"	25
"closur"	80
"cloth"	587
"cloud"	186
"cloudi"	56
"clove"	32
"clown"	67
"club"	890
"clubhous"	38
"clue"	123
"clueless"	25
"cluster"	49
"clutch"	54
"clutter"	32
"cmon"	77
"cnn"	55
"coach"	1328
"coachella"	32
"coal"	78
"coalit"	89
"coars"	27
"coast"	353
"coastal"	49
"coaster"	49
"coat"	217
"cobb"	28
"cocain"	39
"cochair"	23
"cock"	33
"cocktail"	173
"cocoa"	47
"coconut"	82
"cod"	43
"code"	372
"codi"	91
"coffe"	720
"cofound"	60
"cognit"	26
"cohen"	55
"coher"	23
"cohes"	29
"cohost"	23
"coin"	79
"coincid"	75
"coke"	77
"cold"	620
"cole"	106
"coleman"	55
"colin"	39
"coliseum"	34
"collabor"	207
"collag"	27
"collaps"	138
"collar"	36
"colleagu"	175
"collect"	936
"collector"	57
"colleen"	24
"colleg"	1182
"collegi"	25
"collid"	24
"collin"	120
"collis"	34
"colombia"	29
"colon"	33
"coloni"	82
"color"	937
"colorado"	299
"colour"	281
"colt"	108
"columbia"	145
"columbus"	129
"column"	157
"columnist"	36
"com"	50
"coma"	30
"comb"	29
"combat"	108
"combin"	589
"combo"	90
"comcast"	34
"come"	7233
"comeback"	78
"comedi"	224
"comedian"	45
"comfi"	30
"comfort"	515
"comic"	262
"comin"	36
"comm"	23
"command"	239
"commemor"	42
"commenc"	48
"comment"	1126
"commentari"	66
"commerc"	100
"commerci"	443
"commiss"	395
"commission"	213
"commit"	573
"committe"	486
"commod"	37
"common"	583
"commonwealth"	26
"communic"	366
"communist"	59
"communiti"	1406
"commut"	104
"comp"	31
"compact"	46
"compani"	2279
"companion"	91
"compar"	483
"comparison"	116
"compass"	100
"compassion"	35
"compat"	23
"compel"	111
"compens"	118
"compet"	279
"competit"	476
"competitor"	84
"compil"	74
"complain"	290
"complaint"	207
"complement"	38
"complet"	1435
"complex"	296
"compli"	51
"complianc"	50
"complic"	193
"compliment"	98
"complimentari"	42
"compon"	87
"compos"	129
"composit"	75
"compost"	35
"compound"	56
"comprehens"	83
"compris"	46
"compromis"	117
"comput"	618
"con"	87
"conceal"	44
"conced"	42
"conceiv"	54
"concentr"	118
"concept"	287
"concern"	806
"concert"	397
"concess"	44
"conclud"	167
"conclus"	140
"concoct"	22
"concret"	98
"concuss"	39
"condemn"	63
"condit"	517
"condo"	60
"condol"	27
"condom"	31
"condon"	25
"conduct"	283
"conductor"	25
"cone"	49
"conf"	26
"confer"	803
"confess"	107
"confid"	407
"confidenti"	40
"confin"	53
"confirm"	302
"conflict"	200
"conform"	26
"confront"	151
"confus"	338
"congest"	26
"congrat"	540
"congratul"	257
"congreg"	59
"congress"	301
"congression"	115
"congressman"	48
"conjunct"	31
"conjur"	24
"connect"	861
"connecticut"	57
"connor"	39
"conquer"	45
"conscienc"	57
"conscious"	140
"consecut"	125
"consensus"	35
"consent"	46
"consequ"	150
"conserv"	391
"consid"	1155
"consider"	153
"consist"	383
"consol"	46
"consolid"	68
"conspir"	34
"conspiraci"	65
"constant"	311
"constitu"	45
"constitut"	259
"construct"	369
"consult"	252
"consum"	529
"consumpt"	72
"cont"	24
"contact"	660
"contain"	422
"contamin"	39
"contempl"	61
"contemporari"	128
"contempt"	30
"contend"	95
"content"	426
"contest"	396
"context"	138
"contin"	44
"continent"	48
"conting"	40
"continu"	1635
"contracept"	31
"contract"	616
"contractor"	90
"contradict"	45
"contrari"	58
"contrast"	137
"contribut"	472
"contributor"	43
"control"	971
"controversi"	170
"conveni"	125
"convent"	222
"converg"	23
"convers"	599
"convert"	151
"convey"	55
"convict"	232
"convinc"	292
"convo"	44
"cook"	930
"cookbook"	51
"cooki"	327
"cool"	1376
"cooler"	86
"coolest"	54
"coop"	51
"cooper"	220
"coor"	27
"coordin"	199
"coowner"	24
"cop"	183
"cope"	73
"copi"	411
"copic"	63
"copper"	57
"copyright"	85
"coral"	31
"cord"	47
"core"	189
"corey"	43
"cori"	34
"coriand"	27
"corinthian"	29
"corn"	144
"cornel"	33
"corner"	411
"cornerback"	40
"corni"	23
"coron"	42
"corona"	24
"corp"	211
"corpor"	359
"corps"	26
"correct"	422
"correl"	23
"correspond"	64
"corridor"	37
"corrupt"	173
"corzin"	30
"cos"	49
"cosmet"	30
"cost"	1229
"costa"	51
"costum"	160
"cottag"	60
"cotton"	71
"couch"	122
"cougar"	39
"cough"	82
"coughlin"	29
"could"	5447
"couldnt"	922
"couldv"	30
"council"	605
"councilman"	66
"counsel"	121
"counselor"	52
"count"	695
"countdown"	40
"counter"	139
"counterpart"	37
"counti"	1890
"countless"	57
"countri"	1679
"countrysid"	42
"coup"	28
"coupl"	1295
"coupon"	108
"courag"	131
"cours"	1654
"court"	1181
"courtesi"	52
"courthous"	39
"courtney"	45
"courtroom"	49
"courtyard"	30
"cousin"	229
"cove"	23
"cover"	1272
"coverag"	203
"covet"	29
"cow"	126
"coward"	29
"cowboy"	122
"cowork"	109
"cox"	54
"coyot"	52
"cozi"	57
"cps"	33
"crab"	74
"crack"	301
"cracker"	49
"craft"	447
"crafti"	47
"craig"	105
"craigslist"	28
"cram"	49
"cramp"	30
"cranberri"	29
"crane"	45
"crank"	35
"cranki"	25
"crap"	183
"crappi"	54
"crash"	326
"crate"	22
"crave"	110
"crawford"	52
"crawl"	91
"craze"	24
"crazi"	921
"cream"	513
"creami"	80
"creat"	1680
"creation"	260
"creativ"	472
"creator"	88
"creatur"	125
"credenti"	26
"credibl"	66
"credit"	602
"creditor"	26
"creek"	180
"creep"	82
"creepi"	107
"creme"	27
"crepe"	34
"crew"	353
"cri"	662
"crib"	53
"cricket"	63
"cricut"	31
"crime"	471
"crimin"	299
"crippl"	34
"crisi"	248
"crisp"	92
"crispi"	49
"criteria"	47
"critic"	616
"critiqu"	54
"crook"	38
"crop"	99
"cross"	541
"crossroad"	27
"crow"	42
"crowd"	562
"crown"	137
"crucial"	77
"crude"	36
"cruel"	48
"cruelti"	30
"cruis"	137
